ticker,SWIndustry1,SWIndustry2,SWIndustry3
002398.SZ,801710.SI,801713.SI,850614.SI
002399.SZ,801150.SI,801151.SI,851511.SI
002400.SZ,801760.SI,801751.SI,852243.SI
002401.SZ,801750.SI,801222.SI,852226.SI
002402.SZ,801080.SI,801085.SI,850852.SI
002403.SZ,801110.SI,801111.SI,851114.SI
002404.SZ,801130.SI,801131.SI,851313.SI
002405.SZ,801750.SI,801222.SI,852225.SI
002406.SZ,801880.SI,801093.SI,850921.SI
002407.SZ,801030.SI,801034.SI,850382.SI
002408.SZ,801030.SI,801034.SI,850372.SI
002409.SZ,801030.SI,801034.SI,850339.SI
002410.SZ,801750.SI,801222.SI,852225.SI
002411.SZ,801150.SI,801151.SI,851512.SI
002412.SZ,801150.SI,801155.SI,851521.SI
002413.SZ,801740.SI,801742.SI,857421.SI
002414.SZ,801080.SI,801082.SI,850841.SI
002415.SZ,801080.SI,801085.SI,850851.SI
002416.SZ,801200.SI,801204.SI,852041.SI
002417.SZ,801750.SI,801222.SI,852226.SI
002418.SZ,801110.SI,801111.SI,851115.SI
002419.SZ,801200.SI,801203.SI,852031.SI
002420.SZ,801110.SI,801112.SI,851121.SI
002421.SZ,801750.SI,801222.SI,852226.SI
002422.SZ,801150.SI,801151.SI,851512.SI
002423.SZ,801790.SI,801191.SI,851921.SI
002424.SZ,801150.SI,801155.SI,851521.SI
002425.SZ,801760.SI,801752.SI,852222.SI
002426.SZ,801890.SI,801072.SI,850712.SI
002427.SZ,801030.SI,801032.SI,850341.SI
002428.SZ,801050.SI,801054.SI,850544.SI
002429.SZ,801110.SI,801112.SI,851121.SI
002430.SZ,801890.SI,801074.SI,850727.SI
002431.SZ,801720.SI,801725.SI,857251.SI
002432.SZ,801150.SI,801153.SI,851551.SI
002433.SZ,801150.SI,801155.SI,851521.SI
002434.SZ,801880.SI,801093.SI,850921.SI
002435.SZ,801150.SI,801151.SI,851512.SI
002436.SZ,801080.SI,801083.SI,850822.SI
002437.SZ,801150.SI,801151.SI,851512.SI
002438.SZ,801890.SI,801072.SI,850712.SI
002439.SZ,801750.SI,801222.SI,852225.SI
002440.SZ,801030.SI,801034.SI,850338.SI
002441.SZ,801730.SI,801734.SI,857343.SI
002442.SZ,801030.SI,801037.SI,850363.SI
002443.SZ,801040.SI,801041.SI,850412.SI
002444.SZ,801890.SI,801072.SI,850716.SI
002445.SZ,801760.SI,801761.SI,852242.SI
002446.SZ,801770.SI,801102.SI,851013.SI
002447.SZ,801760.SI,801752.SI,852222.SI
002448.SZ,801880.SI,801093.SI,850921.SI
002449.SZ,801080.SI,801084.SI,850832.SI
002450.SZ,801030.SI,801036.SI,850351.SI
002451.SZ,801730.SI,801734.SI,857344.SI
002452.SZ,801730.SI,801734.SI,857341.SI
002453.SZ,801030.SI,801034.SI,850339.SI
002454.SZ,801880.SI,801093.SI,850921.SI
002455.SZ,801030.SI,801034.SI,850339.SI
002456.SZ,801080.SI,801084.SI,850833.SI
002457.SZ,801710.SI,801713.SI,850616.SI
002458.SZ,801010.SI,801017.SI,850171.SI
002459.SZ,801890.SI,801074.SI,850722.SI
002460.SZ,801050.SI,801054.SI,850543.SI
002461.SZ,801120.SI,801123.SI,851232.SI
002462.SZ,801150.SI,801154.SI,851541.SI
002463.SZ,801080.SI,801083.SI,850822.SI
002464.SZ,801760.SI,801752.SI,852221.SI
002465.SZ,801740.SI,801743.SI,857431.SI
002466.SZ,801050.SI,801054.SI,850543.SI
002467.SZ,801770.SI,801223.SI,852211.SI
002468.SZ,801170.SI,801178.SI,851781.SI
002469.SZ,801720.SI,801724.SI,857242.SI
002470.SZ,801030.SI,801034.SI,850381.SI
002471.SZ,801730.SI,801734.SI,857344.SI
002472.SZ,801880.SI,801093.SI,850921.SI
002473.SZ,801110.SI,801111.SI,851114.SI
002474.SZ,801750.SI,801222.SI,852226.SI
002475.SZ,801080.SI,801085.SI,850852.SI
002476.SZ,801030.SI,801034.SI,850339.SI
002478.SZ,801040.SI,801041.SI,850412.SI
002479.SZ,801160.SI,801162.SI,851641.SI
002480.SZ,801890.SI,801072.SI,850712.SI
002481.SZ,801120.SI,801124.SI,851244.SI
002482.SZ,801720.SI,801722.SI,857221.SI
002483.SZ,801890.SI,801074.SI,850724.SI
002484.SZ,801080.SI,801083.SI,850823.SI
002485.SZ,801130.SI,801132.SI,851322.SI
002486.SZ,801130.SI,801132.SI,851327.SI
002487.SZ,801890.SI,801075.SI,850751.SI
002488.SZ,801880.SI,801093.SI,850921.SI
002489.SZ,801140.SI,801142.SI,851432.SI
002490.SZ,801890.SI,801074.SI,850725.SI
002491.SZ,801770.SI,801102.SI,851013.SI
002492.SZ,801170.SI,801178.SI,851781.SI
002493.SZ,801030.SI,801032.SI,850341.SI
002494.SZ,801130.SI,801132.SI,851327.SI
002495.SZ,801120.SI,801124.SI,851242.SI
002496.SZ,801030.SI,801034.SI,850333.SI
002497.SZ,801030.SI,801034.SI,850337.SI
002498.SZ,801730.SI,801734.SI,857344.SI
002499.SZ,801160.SI,801161.SI,851615.SI
