ticker,SWIndustry1,SWIndustry2,SWIndustry3
002838.SZ,801030.SI,801036.SI,850353.SI
002839.SZ,801780.SI,801192.SI,851911.SI
002840.SZ,801120.SI,801124.SI,851241.SI
002841.SZ,801080.SI,801084.SI,850831.SI
002842.SZ,801050.SI,801054.SI,850542.SI
002843.SZ,801890.SI,801075.SI,850751.SI
002845.SZ,801080.SI,801084.SI,850831.SI
002846.SZ,801140.SI,801141.SI,851421.SI
002847.SZ,801120.SI,801124.SI,851244.SI
002848.SZ,801110.SI,801112.SI,851122.SI
002849.SZ,801890.SI,801073.SI,850731.SI
002850.SZ,801080.SI,801085.SI,850852.SI
002851.SZ,801730.SI,801733.SI,857336.SI
002852.SZ,801010.SI,801012.SI,850152.SI
002853.SZ,801140.SI,801142.SI,851432.SI
002855.SZ,801080.SI,801085.SI,850852.SI
002856.SZ,801720.SI,801722.SI,857221.SI
002857.SZ,801890.SI,801073.SI,850731.SI
002858.SZ,801760.SI,801761.SI,852244.SI
002859.SZ,801080.SI,801085.SI,850852.SI
002860.SZ,801110.SI,801111.SI,851115.SI
002861.SZ,801080.SI,801085.SI,850852.SI
002862.SZ,801140.SI,801142.SI,851435.SI
002863.SZ,801880.SI,801093.SI,850921.SI
002864.SZ,801150.SI,801155.SI,851521.SI
002865.SZ,801880.SI,801093.SI,850921.SI
002866.SZ,801080.SI,801085.SI,850852.SI
002867.SZ,801140.SI,801142.SI,851434.SI
002868.SZ,801010.SI,801018.SI,850181.SI
002869.SZ,801080.SI,801082.SI,850841.SI
002870.SZ,801890.SI,801073.SI,850731.SI
002871.SZ,801890.SI,801072.SI,850712.SI
002872.SZ,801150.SI,801154.SI,851541.SI
002873.SZ,801150.SI,801155.SI,851521.SI
002875.SZ,801130.SI,801132.SI,851327.SI
002876.SZ,801080.SI,801084.SI,850831.SI
002877.SZ,801890.SI,801072.SI,850712.SI
002878.SZ,801760.SI,801751.SI,852243.SI
002879.SZ,801730.SI,801734.SI,857344.SI
002880.SZ,801150.SI,801152.SI,851531.SI
002881.SZ,801080.SI,801085.SI,850852.SI
002882.SZ,801730.SI,801734.SI,857344.SI
002883.SZ,801720.SI,801723.SI,857232.SI
002884.SZ,801890.SI,801072.SI,850716.SI
002885.SZ,801080.SI,801085.SI,850852.SI
002886.SZ,801030.SI,801036.SI,850353.SI
002887.SZ,801160.SI,801162.SI,851641.SI
002888.SZ,801080.SI,801085.SI,850851.SI
002889.SZ,801170.SI,801178.SI,851781.SI
002890.SZ,801890.SI,801074.SI,850723.SI
002891.SZ,801010.SI,801014.SI,850141.SI
002892.SZ,801730.SI,801731.SI,850741.SI
002893.SZ,801160.SI,801161.SI,851614.SI
002895.SZ,801030.SI,801034.SI,850383.SI
002896.SZ,801890.SI,801072.SI,850712.SI
002897.SZ,801770.SI,801102.SI,851013.SI
002898.SZ,801150.SI,801151.SI,851512.SI
002899.SZ,801140.SI,801142.SI,851435.SI
002900.SZ,801150.SI,801151.SI,851512.SI
002901.SZ,801150.SI,801153.SI,851551.SI
002902.SZ,801770.SI,801102.SI,851013.SI
002903.SZ,801890.SI,801072.SI,850711.SI
002905.SZ,801760.SI,801761.SI,852242.SI
002906.SZ,801880.SI,801093.SI,850921.SI
002907.SZ,801150.SI,801155.SI,851521.SI
002908.SZ,801770.SI,801102.SI,851012.SI
002909.SZ,801030.SI,801034.SI,850339.SI
002910.SZ,801120.SI,801124.SI,851243.SI
002911.SZ,801160.SI,801163.SI,851631.SI
002912.SZ,801750.SI,801101.SI,851021.SI
002913.SZ,801080.SI,801083.SI,850822.SI
002915.SZ,801030.SI,801034.SI,850382.SI
002916.SZ,801080.SI,801083.SI,850822.SI
002917.SZ,801030.SI,801034.SI,850337.SI
002918.SZ,801710.SI,801713.SI,850614.SI
002919.SZ,801030.SI,801034.SI,850334.SI
002920.SZ,801750.SI,801222.SI,852225.SI
002921.SZ,801880.SI,801093.SI,850921.SI
002922.SZ,801080.SI,801085.SI,850852.SI
002923.SZ,801150.SI,801151.SI,851512.SI
002925.SZ,801080.SI,801085.SI,850852.SI
002926.SZ,801790.SI,801193.SI,851931.SI
002927.SZ,801730.SI,801734.SI,857343.SI
002928.SZ,801170.SI,801173.SI,851741.SI
002929.SZ,801770.SI,801102.SI,851014.SI
002930.SZ,801170.SI,801178.SI,851781.SI
002931.SZ,801890.SI,801072.SI,850712.SI
002932.SZ,801150.SI,801153.SI,851551.SI
002933.SZ,801740.SI,801742.SI,857421.SI
002935.SZ,801740.SI,801741.SI,857411.SI
002936.SZ,801780.SI,801192.SI,851911.SI
002937.SZ,801080.SI,801085.SI,850852.SI
002938.SZ,801080.SI,801083.SI,850822.SI
002939.SZ,801790.SI,801193.SI,851931.SI
002940.SZ,801150.SI,801151.SI,851512.SI
002941.SZ,801720.SI,801723.SI,857232.SI
002942.SZ,801030.SI,801034.SI,850333.SI
002943.SZ,801890.SI,801072.SI,850711.SI
002945.SZ,801790.SI,801193.SI,851931.SI
002946.SZ,801120.SI,801124.SI,851243.SI
002947.SZ,801080.SI,801085.SI,850852.SI
002948.SZ,801780.SI,801192.SI,851911.SI
002949.SZ,801720.SI,801721.SI,850623.SI
002950.SZ,801150.SI,801153.SI,851551.SI
002951.SZ,801140.SI,801141.SI,851421.SI
002952.SZ,801080.SI,801084.SI,850831.SI
002953.SZ,801730.SI,801734.SI,857344.SI
002955.SZ,801080.SI,801084.SI,850831.SI
002956.SZ,801120.SI,801124.SI,851244.SI
002957.SZ,801890.SI,801074.SI,850727.SI
002958.SZ,801780.SI,801192.SI,851911.SI
002959.SZ,801110.SI,801111.SI,851114.SI
002960.SZ,801890.SI,801074.SI,850728.SI
002961.SZ,801790.SI,801191.SI,851921.SI
002962.SZ,801080.SI,801084.SI,850833.SI
002963.SZ,801720.SI,801722.SI,857221.SI
002965.SZ,801890.SI,801075.SI,850751.SI
002966.SZ,801780.SI,801192.SI,851911.SI
002967.SZ,801230.SI,801231.SI,852311.SI
002968.SZ,801180.SI,801181.SI,851811.SI
002969.SZ,801140.SI,801141.SI,851421.SI
002970.SZ,801080.SI,801085.SI,850851.SI
002971.SZ,801030.SI,801034.SI,850339.SI
002972.SZ,801890.SI,801076.SI,850936.SI
002973.SZ,801160.SI,801162.SI,851641.SI
002975.SZ,801890.SI,801074.SI,850727.SI
002976.SZ,801080.SI,801085.SI,850852.SI
002977.SZ,801740.SI,801741.SI,857411.SI
002978.SZ,801020.SI,801022.SI,850231.SI
002979.SZ,801730.SI,801732.SI,857322.SI
002980.SZ,801890.SI,801073.SI,850731.SI
002981.SZ,801080.SI,801085.SI,850852.SI
002982.SZ,801010.SI,801017.SI,850171.SI
002983.SZ,801080.SI,801084.SI,850832.SI
002985.SZ,801740.SI,801742.SI,857421.SI
002987.SZ,801750.SI,801222.SI,852225.SI
002988.SZ,801050.SI,801055.SI,850551.SI
002990.SZ,801750.SI,801101.SI,851021.SI
003816.SZ,801160.SI,801161.SI,851615.SI
300001.SZ,801730.SI,801734.SI,857342.SI
300002.SZ,801750.SI,801222.SI,852226.SI
300003.SZ,801150.SI,801153.SI,851551.SI
300004.SZ,801890.SI,801074.SI,850727.SI
300005.SZ,801130.SI,801132.SI,851327.SI
300006.SZ,801150.SI,801151.SI,851512.SI
300007.SZ,801890.SI,801073.SI,850731.SI
300008.SZ,801740.SI,801744.SI,850935.SI
300009.SZ,801150.SI,801152.SI,851531.SI
300010.SZ,801750.SI,801222.SI,852226.SI
300011.SZ,801730.SI,801733.SI,857335.SI
300012.SZ,801230.SI,801231.SI,852311.SI
300013.SZ,801170.SI,801178.SI,851781.SI
300014.SZ,801080.SI,801082.SI,850841.SI
300015.SZ,801150.SI,801156.SI,851561.SI
300016.SZ,801150.SI,801151.SI,851512.SI
300017.SZ,801770.SI,801102.SI,851014.SI
300018.SZ,801730.SI,801732.SI,857321.SI
300019.SZ,801030.SI,801034.SI,850339.SI
300020.SZ,801750.SI,801222.SI,852226.SI
300021.SZ,801010.SI,801013.SI,850161.SI
300022.SZ,801200.SI,801204.SI,852041.SI
300023.SZ,801790.SI,801191.SI,851921.SI
300024.SZ,801890.SI,801072.SI,850716.SI
300025.SZ,801770.SI,801102.SI,851014.SI
300026.SZ,801150.SI,801155.SI,851521.SI
300027.SZ,801760.SI,801761.SI,852242.SI
300028.SZ,NaN,NaN,NaN
300029.SZ,801730.SI,801733.SI,857333.SI
300030.SZ,801150.SI,801153.SI,851551.SI
300031.SZ,801760.SI,801752.SI,852222.SI
300032.SZ,801080.SI,801084.SI,850831.SI
300033.SZ,801750.SI,801222.SI,852225.SI
300034.SZ,801740.SI,801741.SI,857411.SI
300035.SZ,801030.SI,801034.SI,850339.SI
300036.SZ,801750.SI,801222.SI,852225.SI
300037.SZ,801030.SI,801034.SI,850339.SI
300038.SZ,801760.SI,801751.SI,852243.SI
300039.SZ,801150.SI,801155.SI,851521.SI
300040.SZ,801730.SI,801732.SI,857322.SI
300041.SZ,801030.SI,801034.SI,850339.SI
300042.SZ,801750.SI,801101.SI,851021.SI
300043.SZ,801760.SI,801752.SI,852222.SI
300044.SZ,801750.SI,801222.SI,852226.SI
300045.SZ,801750.SI,801101.SI,851021.SI
300046.SZ,801080.SI,801081.SI,850812.SI
300047.SZ,801750.SI,801222.SI,852225.SI
300048.SZ,801730.SI,801732.SI,857322.SI
300049.SZ,801150.SI,801153.SI,851551.SI
300050.SZ,801770.SI,801102.SI,851014.SI
300051.SZ,801760.SI,801752.SI,852221.SI
300052.SZ,801760.SI,801752.SI,852221.SI
300053.SZ,801080.SI,801081.SI,850811.SI
300054.SZ,801030.SI,801034.SI,850339.SI
300055.SZ,801160.SI,801162.SI,851641.SI
300056.SZ,801160.SI,801162.SI,851641.SI
300057.SZ,801140.SI,801141.SI,851421.SI
300058.SZ,801760.SI,801751.SI,852243.SI
300059.SZ,801760.SI,801752.SI,852221.SI
300061.SZ,801760.SI,801751.SI,852243.SI
300062.SZ,801730.SI,801734.SI,857342.SI
300063.SZ,801760.SI,801751.SI,852243.SI
300064.SZ,801890.SI,801072.SI,850713.SI
300065.SZ,801740.SI,801744.SI,850935.SI
300066.SZ,801890.SI,801073.SI,850731.SI
300067.SZ,801030.SI,801034.SI,850338.SI
300068.SZ,801730.SI,801733.SI,857335.SI
300069.SZ,801730.SI,801734.SI,857344.SI
300070.SZ,801160.SI,801162.SI,851641.SI
300071.SZ,801760.SI,801751.SI,852243.SI
300072.SZ,801030.SI,801034.SI,850339.SI
300073.SZ,801030.SI,801034.SI,850339.SI
300074.SZ,801750.SI,801222.SI,852225.SI
300075.SZ,801750.SI,801222.SI,852225.SI
300076.SZ,801080.SI,801084.SI,850831.SI
300077.SZ,801080.SI,801081.SI,850811.SI
300078.SZ,801080.SI,801082.SI,850841.SI
300079.SZ,801750.SI,801222.SI,852226.SI
300080.SZ,801890.SI,801072.SI,850713.SI
300081.SZ,801770.SI,801102.SI,851014.SI
300082.SZ,801030.SI,801034.SI,850339.SI
300083.SZ,801080.SI,801085.SI,850852.SI
300084.SZ,801890.SI,801074.SI,850725.SI
300085.SZ,801750.SI,801222.SI,852225.SI
300086.SZ,801150.SI,801151.SI,851512.SI
300087.SZ,801010.SI,801016.SI,850111.SI
300088.SZ,801080.SI,801084.SI,850831.SI
300089.SZ,801760.SI,801761.SI,852244.SI
300090.SZ,801160.SI,801162.SI,851641.SI
300091.SZ,801890.SI,801072.SI,850716.SI
300092.SZ,801890.SI,801072.SI,850712.SI
300093.SZ,801710.SI,801712.SI,850611.SI
300094.SZ,801010.SI,801015.SI,850122.SI
300095.SZ,801890.SI,801072.SI,850712.SI
300096.SZ,801750.SI,801222.SI,852226.SI
300097.SZ,801890.SI,801074.SI,850727.SI
300098.SZ,801770.SI,801102.SI,851014.SI
300099.SZ,801890.SI,801074.SI,850725.SI
300100.SZ,801880.SI,801093.SI,850921.SI
300101.SZ,801740.SI,801741.SI,857411.SI
300102.SZ,801080.SI,801084.SI,850832.SI
300103.SZ,801890.SI,801074.SI,850727.SI
300104.SZ,NaN,NaN,NaN
300105.SZ,801730.SI,801733.SI,857334.SI
300106.SZ,801010.SI,801017.SI,850171.SI
300107.SZ,801030.SI,801034.SI,850339.SI
300108.SZ,801150.SI,801155.SI,851521.SI
300109.SZ,801030.SI,801034.SI,850339.SI
300110.SZ,801150.SI,801151.SI,851512.SI
300111.SZ,801730.SI,801733.SI,857333.SI
300112.SZ,801890.SI,801073.SI,850731.SI
300113.SZ,801760.SI,801752.SI,852221.SI
300114.SZ,801890.SI,801073.SI,850731.SI
300115.SZ,801080.SI,801085.SI,850852.SI
300116.SZ,801730.SI,801733.SI,857335.SI
300117.SZ,801710.SI,801713.SI,850614.SI
300118.SZ,801730.SI,801733.SI,857333.SI
300119.SZ,801010.SI,801018.SI,850181.SI
300120.SZ,801080.SI,801084.SI,850831.SI
300121.SZ,801030.SI,801037.SI,850362.SI
300122.SZ,801150.SI,801152.SI,851531.SI
300123.SZ,801740.SI,801741.SI,857411.SI
300124.SZ,801730.SI,801732.SI,857322.SI
300125.SZ,801160.SI,801161.SI,851615.SI
300126.SZ,801890.SI,801072.SI,850716.SI
300127.SZ,801050.SI,801051.SI,850522.SI
300128.SZ,801080.SI,801084.SI,850831.SI
300129.SZ,801730.SI,801733.SI,857332.SI
300130.SZ,801750.SI,801101.SI,851021.SI
300131.SZ,801080.SI,801085.SI,850852.SI
300132.SZ,801030.SI,801034.SI,850339.SI
300133.SZ,801760.SI,801761.SI,852242.SI
300134.SZ,801770.SI,801102.SI,851013.SI
300135.SZ,801030.SI,801035.SI,850311.SI
300136.SZ,801080.SI,801085.SI,850852.SI
300137.SZ,801160.SI,801162.SI,851641.SI
300138.SZ,801010.SI,801012.SI,850154.SI
300139.SZ,801080.SI,801081.SI,850811.SI
300140.SZ,801160.SI,801162.SI,851641.SI
300141.SZ,801730.SI,801733.SI,857335.SI
300142.SZ,801150.SI,801152.SI,851531.SI
300143.SZ,801150.SI,801156.SI,851561.SI
300144.SZ,801210.SI,801212.SI,852111.SI
300145.SZ,801890.SI,801072.SI,850716.SI
300146.SZ,801120.SI,801124.SI,851244.SI
300147.SZ,801150.SI,801155.SI,851521.SI
300148.SZ,801760.SI,801752.SI,852222.SI
300149.SZ,801150.SI,801156.SI,851561.SI
300150.SZ,801750.SI,801222.SI,852226.SI
300151.SZ,801890.SI,801074.SI,850727.SI
300152.SZ,801160.SI,801162.SI,851641.SI
300153.SZ,801730.SI,801733.SI,857336.SI
300154.SZ,801890.SI,801072.SI,850716.SI
300155.SZ,801750.SI,801101.SI,851021.SI
300156.SZ,801160.SI,801162.SI,851641.SI
300157.SZ,801020.SI,801024.SI,850241.SI
300158.SZ,801150.SI,801151.SI,851512.SI
300159.SZ,801740.SI,801742.SI,857421.SI
300160.SZ,801110.SI,801111.SI,851115.SI
300161.SZ,801890.SI,801072.SI,850711.SI
300162.SZ,801080.SI,801084.SI,850832.SI
300163.SZ,801030.SI,801034.SI,850339.SI
300164.SZ,801020.SI,801024.SI,850241.SI
300165.SZ,801890.SI,801073.SI,850731.SI
300166.SZ,801750.SI,801222.SI,852226.SI
300167.SZ,801750.SI,801222.SI,852226.SI
300168.SZ,801750.SI,801222.SI,852226.SI
300169.SZ,801030.SI,801034.SI,850339.SI
300170.SZ,801750.SI,801222.SI,852226.SI
300171.SZ,801890.SI,801074.SI,850727.SI
300172.SZ,801160.SI,801162.SI,851641.SI
300173.SZ,801890.SI,801074.SI,850727.SI
300174.SZ,801030.SI,801034.SI,850339.SI
300175.SZ,801010.SI,801012.SI,850151.SI
300176.SZ,801790.SI,801191.SI,851921.SI
300177.SZ,801750.SI,801101.SI,851021.SI
300178.SZ,801210.SI,801214.SI,852131.SI
300179.SZ,801890.SI,801072.SI,850713.SI
300180.SZ,801030.SI,801036.SI,850352.SI
300181.SZ,801150.SI,801155.SI,851521.SI
300182.SZ,801760.SI,801761.SI,852242.SI
300183.SZ,801770.SI,801102.SI,851012.SI
300184.SZ,801080.SI,801082.SI,850841.SI
300185.SZ,801730.SI,801733.SI,857332.SI
300187.SZ,801160.SI,801162.SI,851641.SI
300188.SZ,801750.SI,801222.SI,852225.SI
300189.SZ,801010.SI,801016.SI,850111.SI
300190.SZ,801160.SI,801162.SI,851641.SI
300191.SZ,801020.SI,801024.SI,850241.SI
300192.SZ,801760.SI,801761.SI,852244.SI
300193.SZ,801890.SI,801072.SI,850716.SI
300194.SZ,801150.SI,801151.SI,851512.SI
300195.SZ,801890.SI,801074.SI,850726.SI
300196.SZ,801030.SI,801034.SI,850373.SI
300197.SZ,801720.SI,801725.SI,857251.SI
300198.SZ,801710.SI,801713.SI,850616.SI
300199.SZ,801150.SI,801151.SI,851512.SI
300200.SZ,801030.SI,801034.SI,850372.SI
300201.SZ,801890.SI,801074.SI,850727.SI
300202.SZ,801750.SI,801101.SI,851021.SI
300203.SZ,801160.SI,801162.SI,851641.SI
300204.SZ,801150.SI,801152.SI,851531.SI
300205.SZ,801770.SI,801102.SI,851012.SI
300206.SZ,801150.SI,801153.SI,851551.SI
300207.SZ,801080.SI,801085.SI,850852.SI
300208.SZ,801730.SI,801732.SI,857322.SI
300209.SZ,801750.SI,801222.SI,852225.SI
300210.SZ,801890.SI,801074.SI,850727.SI
300211.SZ,801770.SI,801102.SI,851013.SI
300212.SZ,801750.SI,801222.SI,852226.SI
300213.SZ,801770.SI,801102.SI,851012.SI
300214.SZ,801030.SI,801034.SI,850339.SI
300215.SZ,801730.SI,801734.SI,857341.SI
300216.SZ,NaN,NaN,NaN
300217.SZ,801110.SI,801111.SI,851115.SI
300218.SZ,801030.SI,801036.SI,850352.SI
300219.SZ,801080.SI,801084.SI,850832.SI
300220.SZ,801080.SI,801082.SI,850841.SI
300221.SZ,801030.SI,801036.SI,850353.SI
300222.SZ,801890.SI,801072.SI,850716.SI
300223.SZ,801080.SI,801081.SI,850811.SI
300224.SZ,801050.SI,801051.SI,850522.SI
300225.SZ,801030.SI,801034.SI,850335.SI
300226.SZ,801760.SI,801752.SI,852221.SI
300227.SZ,801080.SI,801085.SI,850852.SI
300228.SZ,801890.SI,801075.SI,850751.SI
300229.SZ,801750.SI,801222.SI,852225.SI
300230.SZ,801030.SI,801036.SI,850351.SI
300231.SZ,801750.SI,801222.SI,852226.SI
300232.SZ,801080.SI,801084.SI,850832.SI
300233.SZ,801150.SI,801151.SI,851512.SI
300234.SZ,801710.SI,801713.SI,850614.SI
300235.SZ,801750.SI,801222.SI,852225.SI
300236.SZ,801030.SI,801034.SI,850339.SI
300237.SZ,801720.SI,801725.SI,857251.SI
300238.SZ,801150.SI,801153.SI,851551.SI
300239.SZ,801150.SI,801152.SI,851531.SI
300240.SZ,801170.SI,801178.SI,851781.SI
300241.SZ,801080.SI,801084.SI,850832.SI
300242.SZ,801760.SI,801751.SI,852243.SI
300243.SZ,801030.SI,801034.SI,850339.SI
300244.SZ,801150.SI,801153.SI,851551.SI
300245.SZ,801750.SI,801222.SI,852226.SI
300246.SZ,801150.SI,801153.SI,851551.SI
300247.SZ,801110.SI,801111.SI,851114.SI
300248.SZ,801750.SI,801222.SI,852226.SI
300249.SZ,801110.SI,801111.SI,851112.SI
300250.SZ,801750.SI,801222.SI,852226.SI
300251.SZ,801760.SI,801761.SI,852242.SI
300252.SZ,801770.SI,801102.SI,851013.SI
300253.SZ,801750.SI,801222.SI,852225.SI
300254.SZ,801150.SI,801151.SI,851512.SI
300255.SZ,801150.SI,801152.SI,851531.SI
300256.SZ,801080.SI,801085.SI,850852.SI
300257.SZ,801890.SI,801072.SI,850716.SI
300258.SZ,801880.SI,801093.SI,850921.SI
300259.SZ,801890.SI,801073.SI,850731.SI
300260.SZ,801890.SI,801072.SI,850712.SI
300261.SZ,801030.SI,801034.SI,850333.SI
300262.SZ,801160.SI,801162.SI,851641.SI
300263.SZ,801160.SI,801162.SI,851641.SI
300264.SZ,801750.SI,801222.SI,852226.SI
300265.SZ,801730.SI,801734.SI,857344.SI
300266.SZ,801160.SI,801162.SI,851641.SI
300267.SZ,801150.SI,801151.SI,851511.SI
300268.SZ,801010.SI,801012.SI,850154.SI
300269.SZ,801760.SI,801751.SI,852243.SI
300270.SZ,801750.SI,801101.SI,851021.SI
300271.SZ,801750.SI,801222.SI,852226.SI
300272.SZ,801110.SI,801111.SI,851114.SI
300273.SZ,801150.SI,801153.SI,851551.SI
300274.SZ,801730.SI,801733.SI,857333.SI
300275.SZ,801890.SI,801074.SI,850725.SI
300276.SZ,801890.SI,801074.SI,850727.SI
300277.SZ,801750.SI,801222.SI,852226.SI
300278.SZ,801890.SI,801072.SI,850716.SI
300279.SZ,801080.SI,801085.SI,850852.SI
300280.SZ,801760.SI,801751.SI,852243.SI
300281.SZ,801890.SI,801074.SI,850727.SI
300282.SZ,801760.SI,801761.SI,852244.SI
300283.SZ,801730.SI,801734.SI,857343.SI
300284.SZ,801720.SI,801723.SI,857232.SI
300285.SZ,801030.SI,801033.SI,850323.SI
300286.SZ,801730.SI,801732.SI,857323.SI
300287.SZ,801750.SI,801222.SI,852226.SI
300288.SZ,801750.SI,801222.SI,852226.SI
300289.SZ,801150.SI,801152.SI,851531.SI
300290.SZ,801750.SI,801222.SI,852226.SI
300291.SZ,801760.SI,801761.SI,852242.SI
300292.SZ,801760.SI,801752.SI,852221.SI
300293.SZ,801890.SI,801074.SI,850727.SI
300294.SZ,801150.SI,801152.SI,851531.SI
300295.SZ,801760.SI,801752.SI,852221.SI
300296.SZ,801080.SI,801084.SI,850832.SI
300297.SZ,801750.SI,801222.SI,852226.SI
300298.SZ,801150.SI,801153.SI,851551.SI
300299.SZ,801760.SI,801752.SI,852221.SI
300300.SZ,801750.SI,801222.SI,852226.SI
300301.SZ,801080.SI,801084.SI,850832.SI
300302.SZ,801750.SI,801101.SI,851021.SI
300303.SZ,801080.SI,801084.SI,850832.SI
300304.SZ,801880.SI,801093.SI,850921.SI
300305.SZ,801030.SI,801036.SI,850351.SI
300306.SZ,801890.SI,801073.SI,850731.SI
300307.SZ,801890.SI,801074.SI,850721.SI
300308.SZ,801770.SI,801102.SI,851013.SI
300309.SZ,801790.SI,801191.SI,851921.SI
300310.SZ,801770.SI,801102.SI,851014.SI
300311.SZ,801750.SI,801222.SI,852225.SI
300312.SZ,801770.SI,801102.SI,851014.SI
300313.SZ,801010.SI,801017.SI,850171.SI
300314.SZ,801150.SI,801153.SI,851551.SI
300315.SZ,801760.SI,801752.SI,852222.SI
300316.SZ,801730.SI,801733.SI,857333.SI
300317.SZ,801730.SI,801733.SI,857333.SI
300318.SZ,801150.SI,801153.SI,851551.SI
300319.SZ,801080.SI,801084.SI,850831.SI
300320.SZ,801030.SI,801037.SI,850362.SI
300321.SZ,801030.SI,801036.SI,850352.SI
300322.SZ,801080.SI,801085.SI,850852.SI
300323.SZ,801080.SI,801084.SI,850832.SI
300324.SZ,801750.SI,801222.SI,852226.SI
300325.SZ,801030.SI,801036.SI,850351.SI
300326.SZ,801150.SI,801153.SI,851551.SI
300327.SZ,801080.SI,801081.SI,850811.SI
300328.SZ,801050.SI,801055.SI,850551.SI
300329.SZ,801140.SI,801142.SI,851435.SI
300330.SZ,801750.SI,801222.SI,852226.SI
300331.SZ,801080.SI,801084.SI,850831.SI
300332.SZ,801160.SI,801162.SI,851641.SI
300333.SZ,801750.SI,801101.SI,851021.SI
300334.SZ,801160.SI,801162.SI,851641.SI
300335.SZ,801160.SI,801162.SI,851641.SI
300336.SZ,801760.SI,801751.SI,852243.SI
300337.SZ,801050.SI,801055.SI,850551.SI
300338.SZ,801760.SI,801761.SI,852244.SI
300339.SZ,801750.SI,801222.SI,852226.SI
300340.SZ,801080.SI,801082.SI,850841.SI
300341.SZ,801890.SI,801073.SI,850731.SI
300342.SZ,801110.SI,801111.SI,851115.SI
300343.SZ,801760.SI,801751.SI,852243.SI
300344.SZ,801750.SI,801222.SI,852225.SI
300345.SZ,801890.SI,801072.SI,850713.SI
300346.SZ,801080.SI,801081.SI,850813.SI
300347.SZ,801150.SI,801156.SI,851561.SI
300348.SZ,801750.SI,801222.SI,852225.SI
300349.SZ,801890.SI,801073.SI,850731.SI
300350.SZ,801170.SI,801178.SI,851781.SI
300351.SZ,801890.SI,801076.SI,850936.SI
300352.SZ,801750.SI,801222.SI,852225.SI
300353.SZ,801770.SI,801102.SI,851013.SI
300354.SZ,801890.SI,801073.SI,850731.SI
300355.SZ,801720.SI,801725.SI,857251.SI
300356.SZ,801730.SI,801732.SI,857323.SI
300357.SZ,801150.SI,801152.SI,851531.SI
300358.SZ,801150.SI,801153.SI,851551.SI
300359.SZ,801760.SI,801752.SI,852222.SI
300360.SZ,801730.SI,801732.SI,857323.SI
300362.SZ,NaN,NaN,NaN
300363.SZ,801150.SI,801151.SI,851511.SI
300364.SZ,801760.SI,801761.SI,852241.SI
300365.SZ,801750.SI,801222.SI,852226.SI
300366.SZ,801750.SI,801222.SI,852225.SI
300367.SZ,801750.SI,801222.SI,852225.SI
300368.SZ,801750.SI,801101.SI,851021.SI
300369.SZ,801750.SI,801222.SI,852225.SI
300370.SZ,801890.SI,801073.SI,850731.SI
300371.SZ,801890.SI,801073.SI,850731.SI
300373.SZ,801080.SI,801081.SI,850812.SI
300374.SZ,801710.SI,801713.SI,850615.SI
300375.SZ,801880.SI,801093.SI,850921.SI
300376.SZ,801730.SI,801733.SI,857335.SI
300377.SZ,801750.SI,801222.SI,852225.SI
300378.SZ,801750.SI,801222.SI,852225.SI
300379.SZ,801750.SI,801222.SI,852225.SI
300380.SZ,801750.SI,801222.SI,852225.SI
300381.SZ,801150.SI,801152.SI,851531.SI
300382.SZ,801890.SI,801074.SI,850727.SI
300383.SZ,801770.SI,801102.SI,851014.SI
300384.SZ,801720.SI,801724.SI,857242.SI
300385.SZ,801890.SI,801074.SI,850729.SI
300386.SZ,801750.SI,801101.SI,851021.SI
300387.SZ,801030.SI,801034.SI,850339.SI
300388.SZ,801160.SI,801164.SI,851621.SI
300389.SZ,801080.SI,801084.SI,850832.SI
300390.SZ,801080.SI,801082.SI,850841.SI
300391.SZ,801890.SI,801072.SI,850714.SI
300392.SZ,801760.SI,801751.SI,852243.SI
300393.SZ,801730.SI,801733.SI,857333.SI
300394.SZ,801770.SI,801102.SI,851013.SI
300395.SZ,801050.SI,801051.SI,850523.SI
300396.SZ,801150.SI,801153.SI,851551.SI
300397.SZ,801740.SI,801742.SI,857421.SI
300398.SZ,801030.SI,801034.SI,850335.SI
300399.SZ,801750.SI,801222.SI,852226.SI
300400.SZ,801890.SI,801072.SI,850716.SI
300401.SZ,801150.SI,801151.SI,851511.SI
300402.SZ,801890.SI,801075.SI,850751.SI
300403.SZ,801110.SI,801111.SI,851115.SI
300404.SZ,801150.SI,801156.SI,851561.SI
300405.SZ,801030.SI,801034.SI,850339.SI
300406.SZ,801150.SI,801153.SI,851551.SI
300407.SZ,801730.SI,801732.SI,857321.SI
300408.SZ,801080.SI,801083.SI,850823.SI
300409.SZ,801030.SI,801033.SI,850324.SI
300410.SZ,801890.SI,801073.SI,850731.SI
300411.SZ,801890.SI,801074.SI,850727.SI
300412.SZ,801890.SI,801074.SI,850727.SI
300413.SZ,801760.SI,801752.SI,852221.SI
300414.SZ,801770.SI,801102.SI,851014.SI
300415.SZ,801890.SI,801074.SI,850727.SI
300416.SZ,801890.SI,801073.SI,850731.SI
300417.SZ,801890.SI,801073.SI,850731.SI
300418.SZ,801760.SI,801752.SI,852222.SI
300419.SZ,801750.SI,801222.SI,852226.SI
300420.SZ,801890.SI,801072.SI,850716.SI
300421.SZ,801890.SI,801072.SI,850712.SI
300422.SZ,801160.SI,801162.SI,851641.SI
300423.SZ,801730.SI,801734.SI,857342.SI
300424.SZ,801740.SI,801742.SI,857421.SI
